price;area;bathroom;bedroom;latitude;longtitude;cleaningfee
1200000000;18;1;1;209686701;1057799716;30000
1350000000;18;1;2;209798766;1057873183;30000
1370000000;19;1;2;209686701;1057799716;30000
1400000000;20;1;1;209798766;1057873183;30000
1550000000;20;2;2;209667346;1057774576;30000
1500000000;20;1;1;209703553;1057879244;30000
1550000000;22;2;2;210166103;1058532494;30000
1650000000;22;2;2;209667346;1057774576;30000
1700000000;23;3;3;209804342;1057880155;30000
1760000000;23;4;4;209643701;1057673354;30000
1800000000;24;2;3;209655433;105775875;30000
1870000000;24;3;2;209689277;1057795472;30000
1875000000;25;3;3;209699557;1057798664;30000
1850000000;25;3;2;209863264;1057957238;30000
1880000000;25;3;3;209612241;1057633418;30000
1900000000;25;3;3;209643701;1057673354;30000
1835000000;25;4;3;209747217;1057776421;30000
1930000000;25;3;3;209851923;1057790333;30000
1920000000;25;3;3;209643701;1057673354;30000
1780000000;25;1;1;209643701;1057673354;30000
1700000000;25;1;1;209791537;1057962032;30000
1990000000;26;4;3;209684049;105786636;30000
1875000000;26;4;3;209753273;1057893861;30000
2050000000;26;2;3;209833749;1057835348;30000
2100000000;26;3;3;209853911;1057784907;30000
2200000000;27;4;3;209652675;1057681278;30000
2033000000;27;2;3;209735585;105775549;30000
2352000000;27;2;4;209804342;1057880155;30000
2500000000;28;3;3;209833749;1057835348;30000
2200000000;28;2;3;209757661;1057768332;30000
2700000000;28;4;4;209801945;1057746786;30000
2250000000;28;3;3;209745224;1057742818;30000
2350000000;28;3;3;209685829;105779849;30000
2000000000;28;1;2;209798766;1057873183;30000
2100000000;28;3;2;209851923;1057790333;30000
2600000000;29;2;2;209704818;1057624811;30000
2620000000;29;3;3;209786876;105771796;30000
2800000000;30;3;4;20955835;1057563658;30000
2400000000;30;3;3;209446776;1057591229;30000
2900000000;30;4;3;209471727;1057224982;30000
2500000000;30;3;3;20951491;1057571501;30000
2200000000;30;3;2;209537667;1057325338;30000
2400000000;30;3;3;209652675;1057681278;30000
2805000000;30;3;3;2093708;1057673942;30000
2408000000;30;3;4;209540586;1057409852;30000
2850000000;30;4;3;20965193;1057842685;30000
2980000000;30;4;3;209334432;105757522;30000
2809000000;30;4;3;209446776;1057591229;30000
2300000000;30;4;3;209540586;1057409852;30000
2520000000;30;4;3;209446776;1057591229;30000
2800000000;30;3;3;209528073;1057850022;30000
2905700000;30;3;3;209540586;1057409852;30000
2890000000;30;4;4;20951491;1057571501;30000
2990000000;30;3;4;209790672;1057455337;30000
2880000000;30;4;3;209790672;1057455337;30000
2800000000;30;4;4;209456141;1057512671;30000
2300000000;30;1;1;210082189;1058237382;30000
2430000000;30;4;3;209643701;1057673354;30000
2600000000;30;3;3;209283162;1057219145;30000
2700000000;30;2;3;209456141;1057512671;30000
2995000000;30;3;3;209446776;1057591229;30000
3050000000;30;3;3;209790672;1057455337;30000
2300000000;30;3;3;209394853;105732676;30000
2550000000;30;4;3;209804342;1057880155;30000
2990500000;30;2;3;209701912;1057738023;30000
2900000000;30;4;3;209636429;1057776653;30000
2770000000;30;3;3;209448277;1057565135;30000
2000000000;30;2;3;20965193;1057842685;30000
2600000000;30;4;3;209528073;1057850022;30000
3010000000;30;5;3;20969386;1057809778;30000
3021000000;30;5;3;209394853;105732676;30000
3030000000;30;4;3;209540586;1057409852;30000
2700000000;30;5;3;209528073;1057850022;30000
2990000000;30;5;3;209801945;1057746786;30000
2900000000;30;3;3;209643701;1057673354;30000
2900000000;30;4;3;209742616;10576332;30000
3200000000;30;4;3;209446776;1057591229;30000
2900000000;30;3;3;209610988;1057919908;30000
3010000000;30;3;3;209537667;1057325338;30000
2700000000;30;3;3;209528073;1057850022;30000
2600000000;30;4;3;209528073;1057850022;30000
2370000000;30;3;3;20965193;1057842685;30000
3200000000;30;3;3;209682401;1057768843;30000
3000000000;30;3;3;209610988;1057919908;30000
2050000000;30;3;3;209528073;1057850022;30000
2200000000;30;3;3;209851923;1057790333;30000
2895000000;30;2;3;209790672;1057455337;30000
3050000000;30;4;3;209790672;1057455337;30000
2990000000;30;2;3;209801945;1057746786;30000
3000000000;30;3;3;209801945;1057746786;30000
4650000000;30;3;3;209833749;1057835348;30000
3800000000;30;3;3;209833749;1057835348;30000
3000000000;30;4;3;209647802;1057729582;30000
4850000000;30;4;3;20965193;1057842685;30000
4900000000;30;3;3;209624436;1057684146;30000
3000000000;30;3;3;209691116;1057688504;30000
3000000000;30;3;3;209825672;1057841113;30000
3200000000;30;3;3;209825672;1057841113;30000
3300000000;30;5;3;209851923;1057790333;30000
3100000000;30;4;3;209624436;1057684146;30000
3550000000;30;3;3;209567104;1057936155;30000
3100000000;30;3;3;209726234;1057753773;30000
3750000000;30;4;3;209851923;1057790333;30000
4950000000;30;3;3;20969386;1057809778;30000
3700000000;30;2;3;209636429;1057776653;30000
3250000000;30;2;3;209671405;1057757231;30000
2650000000;30;3;3;209801945;1057746786;30000
3200000000;30;4;3;209798766;1057873183;30000
3500000000;30;4;3;20965193;1057842685;30000
2650000000;30;4;3;209790672;1057455337;30000
2500000000;30;3;3;209567104;1057936155;30000
2350000000;30;2;3;209790672;1057455337;30000
2200000000;30;3;3;209652675;1057681278;30000
3100000000;30;2;3;209684377;105778524;30000
3100000000;30;4;3;209686922;1057611004;30000
2820000000;30;1;3;209801945;1057746786;30000
2900000000;30;3;3;209801945;1057746786;30000
3100000000;30;4;3;209643701;1057673354;30000
3200000000;30;3;3;209801945;1057746786;30000
3100000000;30;1;3;209801945;1057746786;30000
2900000000;30;3;3;209528073;1057850022;30000
2900000000;30;4;2;209745224;1057742818;30000
3050000000;30;4;2;209745224;1057742818;30000
2900000000;30;4;3;209801945;1057746786;30000
2950000000;30;3;2;209798766;1057873183;30000
2900000000;30;3;3;209773501;1057774475;30000
2900000000;30;3;3;209863264;1057957238;30000
3150000000;30;3;2;209798766;1057873183;30000
3000000000;30;4;3;209671081;1057624023;30000
2950000000;30;3;3;209745224;1057742818;30000
3000000000;30;4;3;209643701;1057673354;30000
3100000000;30;3;4;209656189;1057589792;30000
3200000000;30;3;3;209757396;10578937;30000
3900000000;30;3;4;209804342;1057880155;30000
3000000000;30;4;3;209635059;1057767523;30000
2500000000;30;4;3;209624436;1057684146;30000
3000000000;30;3;3;209624436;1057684146;30000
3000000000;30;3;4;209684049;105786636;30000
3050000000;30;3;3;209569821;1057699487;30000
2500000000;30;3;3;209569821;1057699487;30000
3000000000;30;3;3;210166103;1058532494;30000
2500000000;30;3;3;209643701;1057673354;30000
3050000000;30;3;3;209791537;1057962032;30000
3450000000;30;3;3;209804342;1057880155;30000
3000000000;30;3;3;209686701;1057799716;30000
3450000000;30;4;3;209798766;1057873183;30000
2900000000;30;4;3;209791537;1057962032;30000
3100000000;30;3;3;209753273;1057893861;30000
3500000000;30;2;3;209791537;1057962032;30000
3300000000;30;2;3;209791537;1057962032;30000
2900000000;30;1;2;209643701;1057673354;30000
2850000000;30;1;2;209684049;105786636;30000
2900000000;31;4;2;209537667;1057325338;30000
2930000000;31;4;3;209471727;1057224982;30000
2890000000;31;2;3;209394853;105732676;30000
3650000000;31;5;4;209471727;1057224982;30000
2600000000;31;4;4;20951491;1057571501;30000
3200000000;31;4;3;20951491;1057571501;30000
3300000000;31;4;3;209537667;1057325338;30000
3100000000;31;4;3;209456141;1057512671;30000
3250000000;31;4;3;209283162;1057219145;30000
3100000000;31;4;3;209540586;1057409852;30000
4650000000;31;4;3;2093708;1057673942;30000
4000000000;31;4;4;209825672;1057841113;30000
3260000000;31;3;3;20965193;1057842685;30000
3400000000;31;3;3;209790672;1057455337;30000
3200000000;31;3;3;20965193;1057842685;30000
4000000000;31;3;3;209790672;1057455337;30000
3950000000;31;3;3;209579937;1057631942;30000
3850000000;31;4;3;209790672;1057455337;30000
2300000000;31;4;3;209790672;1057455337;30000
3250000000;31;3;3;209773501;1057774475;30000
3950000000;31;3;3;2093708;1057673942;30000
3500000000;31;3;3;209801945;1057746786;30000
3520000000;31;3;3;209579937;1057631942;30000
3750000000;31;3;4;209757396;10578937;30000
3200000000;31;4;3;209790672;1057455337;30000
3260000000;31;3;3;209579937;1057631942;30000
3500000000;31;3;3;209757396;10578937;30000
